Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/10/25 16:00,"Etihad Arena, Abu Dhabi",New York Knicks,Philadelphia 76ers,
2,1,03/10/25 09:30,"Rod Laver Arena, Melbourne",New Orleans Pelicans,Melbourne United,
3,1,04/10/25 02:00,"Acrisure Arena, Palm Desert, CA",Los Angeles Lakers,Phoenix Suns,
4,1,04/10/25 15:00,"Etihad Arena, Abu Dhabi",Philadelphia 76ers,New York Knicks,
5,1,05/10/25 00:00,"Barclays Center, Brooklyn, NY",Brooklyn Nets,Hapoel Jerusalem B.C.,
6,1,05/10/25 00:00,"Coliseo de Puerto Rico, San Juan,Puerto Rico",Miami Heat,Orlando Magic,
7,1,05/10/25 01:00,"Pechanga Arena, San Diego, CA",Denver Nuggets,Minnesota Timberwolves,
8,1,05/10/25 03:00,"Rod Laver Arena, Melbourne",New Orleans Pelicans,South East Melbourne Phoenix,
9,1,05/10/25 21:00,"North Charleston Coliseum, Charleston, SC",Charlotte Hornets,Oklahoma City Thunder,
10,1,06/10/25 00:30,"Chase Center, San Francisco, CA",Golden State Warriors,Los Angeles Lakers,
11,1,06/10/25 23:30,"Kaseya Center, Miami, FL",Miami Heat,Milwaukee Bucks,
12,1,07/10/25 00:00,"Toyota Center, Houston, TX",Houston Rockets,Atlanta Hawks,
13,1,07/10/25 00:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Detroit Pistons,
14,1,07/10/25 00:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Guangzhou Loong-Lions,
15,1,07/10/25 00:30,"Dickies Arena, Fort Worth, TX",Dallas Mavericks,Oklahoma City Thunder,
16,1,07/10/25 02:00,"Rogers Arena, Vancouver, BC",Toronto Raptors,Denver Nuggets,
17,1,07/10/25 23:00,"Rocket Arena, Cleveland, OH",Cleveland Cavaliers,Chicago Bulls,
18,1,08/10/25 00:00,"Target Center, Minneapolis, MN",Minnesota Timberwolves,Indiana Pacers,
19,1,08/10/25 23:30,"Kaseya Center, Miami, FL",Miami Heat,San Antonio Spurs,
20,1,09/10/25 00:00,"Toyota Center, Houston, TX",Houston Rockets,Utah Jazz,
21,1,09/10/25 00:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Boston Celtics,
22,1,09/10/25 02:00,"Chase Center, San Francisco, CA",Golden State Warriors,Portland Trail Blazers,
23,1,09/10/25 02:00,"Golden 1 Center, Sacramento, CA",Sacramento Kings,Toronto Raptors,
24,1,09/10/25 23:30,"Madison Square Garden, New York, NY",New York Knicks,Minnesota Timberwolves,
25,1,10/10/25 00:00,"United Center, Chicago, IL",Chicago Bulls,Cleveland Cavaliers,
26,1,10/10/25 00:00,"Fiserv Forum, Milwaukee, WI",Milwaukee Bucks,Detroit Pistons,
27,1,10/10/25 00:00,"Paycom Center, Oklahoma City, OK",Oklahoma City Thunder,Charlotte Hornets,
28,1,10/10/25 02:30,"Frontwave Arena, Oceanside, CA",LA Clippers,Guangzhou Loong-Lions,
29,1,10/10/25 12:00,"Venetian Arena, Macao, China",Brooklyn Nets,Phoenix Suns,
30,1,10/10/25 23:00,"Scotiabank Arena, Toronto, ON",Toronto Raptors,Boston Celtics,
31,1,10/10/25 23:00,"Xfinity Mobile Arena, Philadelphia, PA",Philadelphia 76ers,Orlando Magic,
32,1,11/10/25 00:00,"Frost Bank Center, San Antonio, TX",San Antonio Spurs,Utah Jazz,
33,1,11/10/25 02:00,"Moda Center, Portland, OR",Portland Trail Blazers,Sacramento Kings,
34,1,11/10/25 23:00,"Gainbridge Fieldhouse, Indianapolis, IN",Indiana Pacers,Oklahoma City Thunder,
35,1,12/10/25 00:00,"FedExForum, Memphis, TN",Memphis Grizzlies,Atlanta Hawks,
36,1,12/10/25 00:30,"American Airlines Center, Dallas, TX",Dallas Mavericks,Charlotte Hornets,
37,1,12/10/25 11:00,"Venetian Arena, Macao, China",Phoenix Suns,Brooklyn Nets,
38,1,12/10/25 19:00,"Capital One Arena, Washington, DC",Washington Wizards,Toronto Raptors,
39,1,12/10/25 22:00,"Kia Center, Orlando, FL",Orlando Magic,Miami Heat,
40,1,12/10/25 23:00,"TD Garden, Boston, MA",Boston Celtics,Cleveland Cavaliers,
