season,date,home_team,away_team,home_1stPeriod,away_1stPeriod,home_2ndPeriod,away_2ndPeriod,home_3rdPeriod,away_3rdPeriod,home_final,away_final,home_open_ml,away_open_ml,home_close_ml,away_close_ml,home_close_spread,away_close_spread,home_close_spread_odds,away_close_spread_odds,open_over_under,open_over_under_odds,close_over_under,close_over_under_odds
2009,20091001,Maple Leafs,Canadiens,1,1,1,1,1,1,3,4,-124,104,-110,-110,0,0,0,0,6,100,6,-105
2009,20091001,Bruins,Capitals,0,1,0,1,1,2,1,4,-130,110,-135,115,0,0,0,0,6,-120,6,-125
2009,20091001,Avalanche,Sharks,2,1,3,1,0,0,5,2,145,-165,150,-170,0,0,0,0,5.5,-110,5.5,-120
2009,20091001,Flames,Canucks,3,0,1,2,1,1,5,3,-125,105,-125,105,0,0,0,0,5.5,-110,5.5,-115
2009,20091002,Blackhawks,Panthers,0,0,1,1,2,2,3,4,-153,133,-160,140,0,0,0,0,5.5,-110,5.5,-110
2009,20091002,St.Louis,Red Wings,1,2,3,1,0,0,4,3,113,-133,145,-165,0,0,0,0,5.5,-111,5.5,-105
2009,20091002,Hurricanes,Flyers,0,0,0,2,0,0,0,2,-115,-105,-110,-110,0,0,0,0,6,-125,6,-130
2009,20091002,Penguins,Rangers,1,1,2,0,0,1,3,2,-151,131,-165,145,0,0,0,0,5.5,100,5.5,100
2009,20091003,Panthers,Blackhawks,0,1,0,2,0,1,0,4,115,-135,150,-170,0,0,0,0,5.5,-110,5.5,-110
2009,20091003,Red Wings,St.Louis,2,1,1,3,0,1,3,5,-166,146,-175,155,0,0,0,0,5.5,-110,5.5,100
2009,20091003,Avalanche,Canucks,1,0,1,0,1,0,3,0,120,-140,130,-150,0,0,0,0,5.5,-125,5.5,-120
2009,20091003,Devils,Flyers,0,1,0,2,2,2,2,5,-140,120,-120,100,0,0,0,0,5.5,-115,5.5,-120
2009,20091003,Bruins,Hurricanes,3,0,3,1,1,1,7,2,-183,163,-180,160,0,0,0,0,5.5,-110,5.5,-115
2009,20091003,Sabres,Canadiens,1,0,0,1,0,0,1,2,-151,131,-135,115,0,0,0,0,5.5,105,5.5,-105
2009,20091003,Islanders,Penguins,1,1,1,0,1,2,3,4,146,-166,130,-150,0,0,0,0,6,-120,6,-125
2009,20091003,Rangers,Senators,0,0,3,1,2,1,5,2,-145,125,-130,110,0,0,0,0,5.5,-111,5.5,-115
